image_src,item,rarity,recycles_to,sell_price,stack_size,category,uses,found_in
/w/images/thumb/a/a6/ARC_Alloy.png/75px-ARC_Alloy.png.webp,ARC Alloy,Uncommon,2x Metal Parts,200,15,Topside Material,Workshop | Explosives Station 1 (6x) | Medical Lab 1 (6x) | Utility Station 1 (6x) | Quests | Clearer Skies (3x) | Projects | Expedition 1 (80x) | Expedition 2 (80x) | Expedition 3 (80x) | High-Gain Antenna (50x),ARC
/w/images/thumb/d/dc/ARC_Circuitry.png/75px-ARC_Circuitry.png.webp,ARC Circuitry,Rare,2x ARC Alloy,1000,5,Topside Material,Workshop | Refiner 3 (10x),ARC
/w/images/thumb/e/e9/ARC_Coolant.png/75px-ARC_Coolant.png.webp,ARC Coolant,Rare,16x Chemicals,1000,3,Recyclable,Projects | High-Gain Antenna (15x),ARC
/w/images/thumb/2/29/ARC_Flex_Rubber.png/75px-ARC_Flex_Rubber.png.webp,ARC Flex Rubber,Rare,16x Rubber Parts,1000,3,Recyclable,Projects | High-Gain Antenna (10x),ARC
/w/images/thumb/a/ad/ARC_Motion_Core.png/75px-ARC_Motion_Core.png.webp,ARC Motion Core,Rare,2x ARC Alloy,1000,5,Topside Material,Workshop | Refiner 2 (5x),ARC
/w/images/thumb/0/02/ARC_Performance_Steel.png/75px-ARC_Performance_Steel.png.webp,ARC Performance Steel,Rare,12x Metal Parts,1000,3,Recyclable,Projects | High-Gain Antenna (10x) | Trophy Display (10x),ARC
/w/images/thumb/d/df/ARC_Powercell.png/75px-ARC_Powercell.png.webp,ARC Powercell,Common,Cannot be recycled,270,5,Topside Material,Workshop | Refiner 1 (5x),ARC
/w/images/thumb/7/72/ARC_Synthetic_Resin.png/75px-ARC_Synthetic_Resin.png.webp,ARC Synthetic Resin,Rare,14x Plastic Parts,1000,3,Recyclable,Projects | High-Gain Antenna (20x) | Trophy Display (10x),ARC
/w/images/thumb/0/0f/ARC_Thermo_Lining.png/75px-ARC_Thermo_Lining.png.webp,ARC Thermo Lining,Rare,16x Fabric,1000,3,Recyclable,Projects | High-Gain Antenna (15x),ARC
/w/images/thumb/5/50/Acoustic_Guitar.png/75px-Acoustic_Guitar.png.webp,Acoustic Guitar,Legendary,4x Metal Parts | 6x Wires,7000,1,Quick Use,,
/w/images/thumb/1/1b/Adrenaline_Shot.png/75px-Adrenaline_Shot.png.webp,Adrenaline Shot,Common,1x Chemicals | 1x Plastic Parts,300,5,Quick Use,,
/w/images/thumb/3/31/Advanced_ARC_Powercell.png/75px-Advanced_ARC_Powercell.png.webp,Advanced ARC Powercell,Rare,2x ARC Powercell,640,5,Topside Material,Projects | High-Gain Antenna (15x),ARC
/w/images/thumb/9/9b/Advanced_Electrical_Components.png/75px-Advanced_Electrical_Components.png.webp,Advanced Electrical Components,Rare,1x Electrical Components | 1x Wires,1750,5,Refined Material,Workshop | Gear Bench 3 (5x) | Utility Station 3 (5x) | Projects | Expedition 1 (5x) | Expedition 2 (5x) | Expedition 3 (5x),Electrical
/w/images/thumb/2/25/Advanced_Mechanical_Components.png/75px-Advanced_Mechanical_Components.png.webp,Advanced Mechanical Components,Rare,1x Mechanical Components | 1x Steel Spring,1750,5,Refined Material,Workshop | Gunsmith 3 (5x),Mechanical
/w/images/thumb/4/47/Agave.png/75px-Agave.png.webp,Agave,Uncommon,3x Assorted Seeds,1000,10,Nature,,
/w/images/thumb/a/a8/Agave_Juice.png/75px-Agave_Juice.png.webp,Agave Juice,Common,Cannot be recycled,1800,5,Quick Use,,
/w/images/thumb/0/03/Air_Freshener.png/75px-Air_Freshener.png.webp,Air Freshener,Uncommon,Cannot be recycled,2000,5,Trinket,,
/w/images/thumb/9/95/Alarm_Clock.png/75px-Alarm_Clock.png.webp,Alarm Clock,Rare,1x Processor | 6x Plastic Parts,1000,3,Recyclable,,
/w/images/thumb/3/3e/Alien_Duck.png/75px-Alien_Duck.png.webp,Alien Duck,Uncommon,Cannot be recycled,1000,15,Trinket,,
/w/images/thumb/1/1d/Security_Code.png/75px-Security_Code.png.webp,Ancient Fort Security Code,Common,Cannot be recycled,0,1,Key,,
/w/images/thumb/b/b5/Angled_Grip_I.png/75px-Angled_Grip_I.png.webp,Angled Grip I,Common,6x Plastic Parts,640,1,Mods,,
/w/images/thumb/2/2b/Angled_Grip_II.png/75px-Angled_Grip_II.png.webp,Angled Grip II,Uncommon,1x Duct Tape | 1x Mechanical Components,2000,1,Mods,,
/w/images/thumb/0/0f/Angled_Grip_III.png/75px-Angled_Grip_III.png.webp,Angled Grip III,Rare,1x Mod Components | 2x Duct Tape,5000,1,Mods,,
/w/images/thumb/f/f5/Antiseptic.png/75px-Antiseptic.png.webp,Antiseptic,Rare,10x Chemicals,1000,5,Refined Material,Workshop | Medical Lab 3 (8x) | Quests | Doctor's Orders (2x),Medical
/w/images/thumb/e/ef/Anvil_Splitter.png/75px-Anvil_Splitter.png.webp,Anvil Splitter,Legendary,1x Mod Components | 1x Processor,7000,1,Mods,,
/w/images/thumb/f/fc/Apricot.png/75px-Apricot.png.webp,Apricot,Uncommon,3x Assorted Seeds,640,10,Nature,Workshop | Scrappy 3 (3x) | Scrappy 5 (12x),Nature
/w/images/thumb/1/18/Assessor_Matrix.png/75px-Assessor_Matrix.png.webp,Assessor Matrix,Epic,1x Advanced Mechanical Components | 3x Advanced ARC Powercell,5000,1,Recyclable,Projects | High-Gain Antenna (18x) | High-Gain Antenna (6x),
https://arcraiders.wiki/w/images/1/18/Assessor_Matrix.png,Assessor Matrix,Epic,1x Advanced Mechanical Components | 3x Advanced ARC Powercell,5000,1,Recyclable,projects | High-Gain Antenna Data Logger (6x) | projects | High-Gain Antenna Parabolic Dish (18x),ARC
/w/images/thumb/5/51/Assorted_Seeds.png/75px-Assorted_Seeds.png.webp,Assorted Seeds,Common,Cannot be recycled,100,100,Nature,,
/w/images/thumb/0/0c/Bandage.png/75px-Bandage.png.webp,Bandage,Common,2x Fabric,250,5,Quick Use,,
/w/images/thumb/c/cb/Barricade_Kit.png/75px-Barricade_Kit.png.webp,Barricade Kit,Uncommon,4x Metal Parts,640,3,Quick Use,,
/w/images/thumb/0/06/Bastion_Cell.png/75px-Bastion_Cell.png.webp,Bastion Cell,Epic,1x Advanced Mechanical Components | 3x ARC Alloy,3000,3,Recyclable,Workshop | Gear Bench 3 (6x) | Quests | Settled in Full (1x) | Projects | Trophy Display (5x),ARC
/w/images/thumb/6/6d/Battery.png/75px-Battery.png.webp,Battery,Uncommon,2x Metal Parts,250,15,Topside Material,Quests | After Rain Comes (2x) | Clamoring for Attention (1x) | Trash Into Treasure (1x) | Projects | Expedition 1 (30x) | Expedition 2 (30x) | Expedition 3 (25x),
/w/images/thumb/f/fa/Bicycle_Pump.png/75px-Bicycle_Pump.png.webp,Bicycle Pump,Rare,10x Metal Parts | 4x Canister,2000,3,Recyclable,Quests | The League (1x),
/w/images/thumb/7/74/Binoculars.png/75px-Binoculars.png.webp,Binoculars,Common,2x Rubber Parts | 4x Plastic Parts,640,1,Quick Use,,
/w/images/thumb/2/24/Blaze_Grenade.png/75px-Blaze_Grenade.png.webp,Blaze Grenade,Rare,2x Oil | 4x Metal Parts,1600,5,Quick Use,,
/w/images/thumb/a/af/Blaze_Grenade_Trap.png/75px-Blaze_Grenade_Trap.png.webp,Blaze Grenade Trap,Rare,Cannot be recycled,1000,3,Quick Use,,
/w/images/thumb/0/01/Bloated_Tuna_Can.png/75px-Bloated_Tuna_Can.png.webp,Bloated Tuna Can,Common,Cannot be recycled,1000,15,Trinket,,
/w/images/thumb/7/7c/Blue_Gate_Key_Variant_1.png/75px-Blue_Gate_Key_Variant_1.png.webp,Blue Gate Cellar Key,Rare,Cannot be recycled,100,1,Key,,
/w/images/thumb/d/de/Blue_Gate_Key_Variant_2.png/75px-Blue_Gate_Key_Variant_2.png.webp,Blue Gate Communication Tower Key,Rare,Cannot be recycled,100,1,Key,,
/w/images/thumb/d/de/Blue_Gate_Key_Variant_2.png/75px-Blue_Gate_Key_Variant_2.png.webp,Blue Gate Confiscation Room Key,Epic,Cannot be recycled,100,1,Key,,
/w/images/thumb/7/7c/Blue_Gate_Key_Variant_1.png/75px-Blue_Gate_Key_Variant_1.png.webp,Blue Gate Village Key,Uncommon,Cannot be recycled,100,1,Key,,
/w/images/thumb/c/cc/Blue_Light_Stick.png/75px-Blue_Light_Stick.png.webp,Blue Light Stick,Common,1x Chemicals,150,5,Quick Use,,
/w/images/thumb/4/46/Bombardier_Cell.png/75px-Bombardier_Cell.png.webp,Bombardier Cell,Epic,1x Advanced Mechanical Components | 3x ARC Alloy,3000,3,Recyclable,Workshop | Refiner 3 (6x) | Projects | Expedition 3 (2x) | Trophy Display (8x),ARC
/w/images/thumb/6/63/Breathtaking_Snow_Globe.png/75px-Breathtaking_Snow_Globe.png.webp,Breathtaking Snow Globe,Epic,Cannot be recycled,7000,1,Trinket,Projects | Expedition 3 (3x),
/w/images/thumb/1/17/Broken_Flashlight.png/75px-Broken_Flashlight.png.webp,Broken Flashlight,Rare,2x Battery | 6x Metal Parts,1000,3,Recyclable,,
/w/images/thumb/9/93/Broken_Guidance_System.png/75px-Broken_Guidance_System.png.webp,Broken Guidance System,Rare,4x Processor,2000,3,Recyclable,Projects | Expedition 3 (1x),
/w/images/thumb/3/3b/Broken_Handheld_Radio.png/75px-Broken_Handheld_Radio.png.webp,Broken Handheld Radio,Rare,2x Wires | 3x Sensors,2000,3,Recyclable,,
/w/images/thumb/1/18/Broken_Taser.png/75px-Broken_Taser.png.webp,Broken Taser,Rare,2x Battery | 2x Wires,1000,3,Recyclable,,
/w/images/thumb/1/11/Buried_City_Key.png/75px-Buried_City_Key.png.webp,Buried City Hospital Key,Rare,Cannot be recycled,100,1,Key,,
/w/images/thumb/1/11/Buried_City_Key.png/75px-Buried_City_Key.png.webp,Buried City JKV Employee Access Card,Uncommon,Cannot be recycled,100,1,Key,,
/w/images/thumb/1/11/Buried_City_Key.png/75px-Buried_City_Key.png.webp,Buried City Residential Master Key,Uncommon,Cannot be recycled,100,1,Key,,
/w/images/thumb/1/11/Buried_City_Key.png/75px-Buried_City_Key.png.webp,Buried City Town Hall Key,Epic,Cannot be recycled,100,1,Key,,
/w/images/thumb/3/35/Burned_ARC_Circuitry.png/75px-Burned_ARC_Circuitry.png.webp,Burned ARC Circuitry,Uncommon,2x ARC Alloy,640,5,Recyclable,,
/w/images/thumb/0/0a/Burnt-Out_Candles.png/75px-Burnt-Out_Candles.png.webp,Burnt-Out Candles,Common,Cannot be recycled,640,15,Trinket,,
/w/images/thumb/a/a6/Camera_Lens.png/75px-Camera_Lens.png.webp,Camera Lens,Uncommon,8x Plastic Parts,640,5,Recyclable,,
/w/images/thumb/5/58/Candle_Holder.png/75px-Candle_Holder.png.webp,Candle Holder,Uncommon,8x Metal Parts,640,3,Recyclable,,
/w/images/thumb/9/9e/Candleberries.png/75px-Candleberries.png.webp,Candleberries,Rare,2x Assorted Seeds,460,10,Nature,,
/w/images/thumb/5/5f/Canister.png/75px-Canister.png.webp,Canister,Uncommon,3x Plastic Parts,300,15,Topside Material,,
/w/images/thumb/8/82/Cat_Bed.png/75px-Cat_Bed.png.webp,Cat Bed,Uncommon,Cannot be recycled,1000,3,Trinket,Workshop | Scrappy 4 (1x),Commercial | Residential
