name,image_url,page_url,rarity,sell_price,slot,required_station,crafting_materials,craft_value,effects,description
Angled Grip I,https://arcraiders.wiki/w/images/b/b5/Angled_Grip_I.png,https://arcraiders.wiki/wiki/Angled_Grip_I,Common,640,Underbarrel,Gunsmith 1,Plastic Parts x6 | Duct Tape x1,660,20% Reduced Horizontal Recoil,Slightly reduces horizontal recoil.
Angled Grip II,https://arcraiders.wiki/w/images/2/2b/Angled_Grip_II.png,https://arcraiders.wiki/wiki/Angled_Grip_II,Uncommon,2000,Underbarrel,Gunsmith 2,Mechanical Components x2 | Duct Tape x3,2180,30% Reduced Horizontal Recoil,Moderately reduces horizontal recoil.
Angled Grip III,https://arcraiders.wiki/w/images/0/0f/Angled_Grip_III.png,https://arcraiders.wiki/wiki/Angled_Grip_III,Rare,5000,Underbarrel,Gunsmith 3,Mod Components x2 | Duct Tape x5,5000,40% Reduced Horizontal Recoil | 30% Reduced ADS Speed,Significantly reduces horizontal recoil
Anvil Splitter,https://arcraiders.wiki/w/images/e/ef/Anvil_Splitter.png,https://arcraiders.wiki/wiki/Anvil_Splitter,Legendary,7000,Tech Mod,,,0,+3 Projectiles Per Shot | 70% Reduced Projectile Damage,Tech mod for the Anvil that replaces its bullets with ones that split into 4 weaker projectiles.
Compensator I,https://arcraiders.wiki/w/images/5/5f/Compensator_I.png,https://arcraiders.wiki/wiki/Compensator_I,Common,640,Muzzle,Gunsmith 1,Metal Parts x6 | Wires x1,650,20% Reduced Per-Shot Dispersion | 10% Reduced Max Shot Dispersion,Slightly reduces per-shot dispersion.
Compensator II,https://arcraiders.wiki/w/images/0/0a/Compensator_II.png,https://arcraiders.wiki/wiki/Compensator_II,Uncommon,2000,Muzzle,Gunsmith 2,Mechanical Components x2 | Wires x4,2080,40% Reduced Per-Shot Dispersion | 20% Reduced Max Shot Dispersion,Moderately reduces per-shot dispersion.
Compensator III,https://arcraiders.wiki/w/images/a/af/Compensator_III.png,https://arcraiders.wiki/wiki/Compensator_III,Rare,5000,Muzzle,Gunsmith 3,Mod Components x2 | Wires x8,5100,60% Reduced Per-Shot Dispersion | 30% Reduced Max Shot Dispersion | 20% Increased Durability Burn Rate,Significantly reduces per-shot dispersion.
Extended Barrel,https://arcraiders.wiki/w/images/3/3f/Icon_Mod_Muzzle.png,https://arcraiders.wiki/wiki/Extended_Barrel,Epic,5000,Muzzle,Gunsmith 3,Mod Components x2 | Wires x8,5100,25% Increased Bullet Velocity | 15% Increased Vertical Recoil,Moderately increases bullet velocity.
Extended Light Mag I,https://arcraiders.wiki/w/images/2/23/Extended_Light_Mag_I.png,https://arcraiders.wiki/wiki/Extended_Light_Mag_I,Common,640,Light Magazine,Gunsmith 1,Plastic Parts x6 | Steel Spring x1,660,+5 Magazine Size,Slightly extends the ammo capacity of compatible weapons that use light ammo.
Extended Light Mag II,https://arcraiders.wiki/w/images/c/cf/Extended_Light_Mag_II.png,https://arcraiders.wiki/wiki/Extended_Light_Mag_II,Uncommon,2000,Light Magazine,Gunsmith 2,Mechanical Components x2 | Steel Spring x3,2180,+10 Magazine Size,Moderately extends the ammo capacity of the compatible weapons that use light ammo.
Extended Light Mag III,https://arcraiders.wiki/w/images/4/40/Extended_Light_Mag_III.png,https://arcraiders.wiki/wiki/Extended_Light_Mag_III,Rare,5000,Light Magazine,Gunsmith 3,Mod Components x2 | Steel Spring x5,5000,+15 Magazine Size,Significantly extends the ammo capacity of the compatible weapons that use light ammo.
Extended Medium Mag I,https://arcraiders.wiki/w/images/4/44/Extended_Medium_Mag_I.png,https://arcraiders.wiki/wiki/Extended_Medium_Mag_I,Common,640,Medium Magazine,Gunsmith 1,Plastic Parts x6 | Steel Spring x1,660,+4 Magazine Size,Slightly extends the ammo capacity of compatible weapons that use medium ammo.
Extended Medium Mag II,https://arcraiders.wiki/w/images/5/50/Extended_Medium_Mag_II.png,https://arcraiders.wiki/wiki/Extended_Medium_Mag_II,Uncommon,2000,Medium Magazine,Gunsmith 2,Mechanical Components x2 | Steel Spring x3,2180,+8 Magazine Size,Moderately extends the ammo capacity of compatible weapons that use medium ammo.
Extended Medium Mag III,https://arcraiders.wiki/w/images/a/a1/Extended_Medium_Mag_III.png,https://arcraiders.wiki/wiki/Extended_Medium_Mag_III,Rare,5000,Medium Magazine,Gunsmith 3,Mod Components x2 | Steel Spring x5,5000,+12 Magazine Size,Significantly extends the ammo capacity of compatible weapons that use medium ammo.
Extended Shotgun Mag I,https://arcraiders.wiki/w/images/9/9b/Extended_Shotgun_Mag_I.png,https://arcraiders.wiki/wiki/Extended_Shotgun_Mag_I,Common,640,Shotgun Magazine,Gunsmith 1,Plastic Parts x6 | Steel Spring x1,660,+2 Magazine Size,Slightly extends the ammo capacity of shotguns.
Extended Shotgun Mag II,https://arcraiders.wiki/w/images/4/4f/Extended_Shotgun_Mag_II.png,https://arcraiders.wiki/wiki/Extended_Shotgun_Mag_II,Uncommon,2000,Shotgun Magazine,Gunsmith 2,Mechanical Components x2 | Steel Spring x3,2180,+4 Magazine Size,Moderately extends the ammo capacity of compatible weapons that use shotgun ammo.
Extended Shotgun Mag III,https://arcraiders.wiki/w/images/7/77/Extended_Shotgun_Mag_III.png,https://arcraiders.wiki/wiki/Extended_Shotgun_Mag_III,Rare,5000,Shotgun Magazine,Gunsmith 3,Mod Components x2 | Steel Spring x5,5000,+6 Magazine Size,Significantly extends the ammo capacity of shotguns.
Horizontal Grip,https://arcraiders.wiki/w/images/8/89/Horizontal_Grip.png,https://arcraiders.wiki/wiki/Horizontal_Grip,Epic,7000,Underbarrel,?,,0,30% Reduced Horizontal Recoil | 30% Reduced Vertical Recoil | 30% Reduced ADS Speed,Moderately reduces both vertical recoil and horizontal recoil.
Kinetic Converter,https://arcraiders.wiki/w/images/7/71/Kinetic_Converter.png,https://arcraiders.wiki/wiki/Kinetic_Converter,Legendary,7000,Stock,,,0,15% Increased Fire Rate | 20% Increased Horizontal Recoil | 20% Increased Vertical Recoil,Moderately increases fire rate.
Lightweight Stock,https://arcraiders.wiki/w/images/c/cb/Lightweight_Stock.png,https://arcraiders.wiki/wiki/Lightweight_Stock,Epic,5000,Stock,Gunsmith 3,Mod Components x2 | Duct Tape x5,5000,200% Increased ADS Speed | 30% Reduced Equip Time | 30% Reduced Unequip Time | 50% Increased Vertical Recoil | 50% Increased Recoil Recovery Time,Moderately improves ADS & draw speed.
Muzzle Brake I,https://arcraiders.wiki/w/images/4/4f/Muzzle_Brake_I.png,https://arcraiders.wiki/wiki/Muzzle_Brake_I,Common,640,Muzzle,Gunsmith 1,Metal Parts x6 | Wires x1,650,15% Reduced Horizontal Recoil | 15% Reduced Vertical Recoil,Slightly reduces both vertical recoil & horizontal recoil.
Muzzle Brake II,https://arcraiders.wiki/w/images/2/23/Muzzle_Brake_II.png,https://arcraiders.wiki/wiki/Muzzle_Brake_II,Uncommon,2000,Muzzle,Gunsmith 2,Mechanical Components x2 | Wires x4,2080,20% Reduced Horizontal Recoil | 20% Reduced Vertical Recoil,Moderately reduces both vertical recoil & horizontal recoil.
Muzzle Brake III,https://arcraiders.wiki/w/images/a/a2/Muzzle_Brake_III.png,https://arcraiders.wiki/wiki/Muzzle_Brake_III,Rare,5000,Muzzle,Gunsmith 3,Mod Components x2 | Wires x8,5100,25% Reduced Horizontal Recoil | 25% Reduced Vertical Recoil | 20% Increased Durability Burn Rate,Significantly reduces both vertical recoil & horizontal recoil.
Padded Stock,https://arcraiders.wiki/w/images/4/4b/Padded_Stock.png,https://arcraiders.wiki/wiki/Padded_Stock,Epic,5000,Stock,Gunsmith 3,Mod Components x2 | Duct Tape x5,5000,15% Reduced Vertical Recoil | 15% Reduced Horizontal Recoil | 20% Reduced Per-Shot Dispersion | 20% Increased Equip Time | 20% Increased Unequip Time | 30% Reduced ADS Speed,Significantly improves stability.
Shotgun Choke I,https://arcraiders.wiki/w/images/0/07/Shotgun_Choke_I.png,https://arcraiders.wiki/wiki/Shotgun_Choke_I,Common,640,Shotgun Muzzle,Gunsmith 1,Metal Parts x6 | Wires x1,650,10% Reduced Base Dispersion,Slightly reduces base dispersion.
