name,image_url,page_url,rarity,ammo_type,firing_mode,damage,fire_rate,relative_dps,range,sell_price,magazine_size,arc_armor_penetration,headshot_multiplier,stability,agility,stealth,weight,description,mod_slots,type
Kettle,https://arcraiders.wiki/w/images/thumb/c/c1/Kettle-Level1.png/160px-Kettle-Level1.png.webp,https://arcraiders.wiki/wiki/Kettle,Common,Light Ammo,Semi-Automatic,8.5,30,280,42.8,840,20,Very Weak,2.5x,69.8,58.5,26,7.0,"Quick and accurate, but has low bullet velocity and takes a long time reload.",Muzzle | Underbarrel | Light Magazine | Stock,Assault Rifles
Rattler,https://arcraiders.wiki/w/images/thumb/b/be/Rattler-Level1.png/160px-Rattler-Level1.png.webp,https://arcraiders.wiki/wiki/Rattler,Common,Medium Ammo,Fully-Automatic,9,33.3,299.7,56.2,1750,12,Moderate,2.0x,72.2,54.8,14,6.0,"A cheap offensive option, but has to be reloaded 2 bullets at a time.",Muzzle | Underbarrel | Stock,Assault Rifles
Arpeggio,https://arcraiders.wiki/w/images/thumb/6/6c/Arpeggio-Level1.png/160px-Arpeggio-Level1.png.webp,https://arcraiders.wiki/wiki/Arpeggio,Uncommon,Medium Ammo,3-Round Burst,9.5,18.3,173.9,55.9,5500,24,Moderate,2.0x,84,57.3,14,7.0,Has decent damage output and accuracy.,Muzzle | Underbarrel | Medium Magazine | Stock,Assault Rifles
Tempest,https://arcraiders.wiki/w/images/thumb/c/c9/Tempest-Level1.png/160px-Tempest-Level1.png.webp,https://arcraiders.wiki/wiki/Tempest,Epic,Medium Ammo,Fully-Automatic,10,36.7,367,55.9,13000,25,Moderate,1.5x,78.9,46,14,11.0,Has moderate fire rate and accuracy.,Muzzle | Underbarrel | Medium Magazine,Assault Rifles
Bettina,https://arcraiders.wiki/w/images/thumb/a/ac/Bettina.png/160px-Bettina.png.webp,https://arcraiders.wiki/wiki/Bettina,Epic,Heavy Ammo,Fully-Automatic,14,32,448,51.3,8000,22,Strong,1.5x,76.4,48.2,14,11.0,Has slow fire rate and high damage output.,Muzzle | Underbarrel | Stock,Assault Rifles
Renegade,https://arcraiders.wiki/w/images/thumb/b/b5/Renegade-Level1.png/160px-Renegade-Level1.png.webp,https://arcraiders.wiki/wiki/Renegade,Rare,Medium Ammo,Lever-Action,35,21,735,68.8,7000,8,Moderate,2.25x,85.7,55.8,16,10.0,"Has high damage output, accuracy, and headshot damage.",Muzzle | Medium Magazine | Stock,Battle Rifles
Ferro,https://arcraiders.wiki/w/images/thumb/b/b0/Ferro-Level1.png/160px-Ferro-Level1.png.webp,https://arcraiders.wiki/wiki/Ferro,Common,Heavy Ammo,Break-Action,40,6.6,264,53.1,475,1,Strong,2.5x,78.1,32.1,8,8.0,"Packs a punch, but must be reloaded between every shot.",Muzzle | Underbarrel | Stock,Battle Rifles
Aphelion,https://arcraiders.wiki/w/images/thumb/8/88/Aphelion.png/160px-Aphelion.png.webp,https://arcraiders.wiki/wiki/Aphelion,Legendary,Energy Clip,2-Round Burst,25,9,216,76,27500,10,Strong,2.0x,88,39,16,10,Fires high velocity energy rounds.,Underbarrel | Stock,Battle Rifles
Stitcher,https://arcraiders.wiki/w/images/thumb/3/3a/Stitcher-Level1.png/160px-Stitcher-Level1.png.webp,https://arcraiders.wiki/wiki/Stitcher,Common,Light Ammo,Fully-Automatic,6.5,45.3,317.1,42.1,800,20,Very Weak,1.75x,45.3,73.8,19,5.0,"Deals good damage, but has quite a low fire-rate and can be hard to control.",Muzzle | Underbarrel | Light Magazine | Stock,SMGs
Bobcat,https://arcraiders.wiki/w/images/thumb/3/36/Bobcat-Level1.png/160px-Bobcat-Level1.png.webp,https://arcraiders.wiki/wiki/Bobcat,Epic,Light Ammo,Fully-Automatic,6,66.7,400,44,13000,20,Very Weak,2.0x,45.9,73.1,21,7.0,Has a high fire rate but low accuracy.,Muzzle | Underbarrel | Light Magazine | Stock,SMGs
Il Toro,https://arcraiders.wiki/w/images/thumb/5/50/Il_Toro-Level1.png/160px-Il_Toro-Level1.png.webp,https://arcraiders.wiki/wiki/Il_Toro,Uncommon,Shotgun Ammo,Pump-Action,67.5,14,965.3,20,5000,5,Weak,,80.6,61.1,18,8.0,"Has a large bullet spread, sharp falloff, and high damage output.",Shotgun Muzzle | Underbarrel | Shotgun Magazine | Stock,Shotguns
Vulcano,https://arcraiders.wiki/w/images/thumb/d/da/Vulcano-Level1.png/160px-Vulcano-Level1.png.webp,https://arcraiders.wiki/wiki/Vulcano,Epic,Shotgun Ammo,Semi-Automatic,49.5,26.3,1302.9,26,10000,6,Weak,,68.6,70.3,15,8.0,Has good bullet spread but sharp falloff.,Shotgun Muzzle | Underbarrel | Shotgun Magazine | Stock,Shotguns
Hairpin,https://arcraiders.wiki/w/images/thumb/6/65/Hairpin-Level1.png/160px-Hairpin-Level1.png.webp,https://arcraiders.wiki/wiki/Hairpin,Common,Light Ammo,Slide-Action,20,9,180,38.6,450,8,Very Weak,2.5x,90.9,78.3,70,3.0,"Has a built-in silencer. Great for stealth, but tricky in combat.",Light Magazine,Pistols
Burletta,https://arcraiders.wiki/w/images/thumb/d/d4/Burletta-Level1.png/160px-Burletta-Level1.png.webp,https://arcraiders.wiki/wiki/Burletta,Uncommon,Light Ammo,Semi-Automatic,10,28,280,41.7,2900,12,Very Weak,2.5x,74.5,84.4,24,4.0,Has decent damage output and accuracy.,Muzzle | Light Magazine,Pistols
Venator,https://arcraiders.wiki/w/images/thumb/b/b4/Venator-Level1.png/160px-Venator-Level1.png.webp,https://arcraiders.wiki/wiki/Venator,Rare,Medium Ammo,Semi-Automatic,16,36.7,660.6,48.4,7000,10,Moderate,2x,61.3,76.4,12,5.0,Semi-automatic pistol. Fires two shots at a time.,Underbarrel | Medium Magazine,Pistols
Anvil,https://arcraiders.wiki/w/images/thumb/0/00/Anvil-Level1.png/160px-Anvil-Level1.png.webp,https://arcraiders.wiki/wiki/Anvil,Uncommon,Heavy Ammo,Single-Action,40,16.3,652,50.2,5000,6,Strong,2.5x,75.2,69.1,10,5.0,"Has high damage output and headshot damage, but slow handling.",Muzzle | Tech Mod,Hand Cannons
Torrente,https://arcraiders.wiki/w/images/thumb/1/1e/Torrente-Level1.png/160px-Torrente-Level1.png.webp,https://arcraiders.wiki/wiki/Torrente,Rare,Medium Ammo,Fully-Automatic,8,58.3,466.4,49.9,7000,60,Moderate,2.0x,74.2,37.7,1,12.0,"Has a large ammo capacity, but is only accurate while crouched.",Muzzle | Medium Magazine | Stock,LMGs
Osprey,https://arcraiders.wiki/w/images/thumb/a/ae/Osprey-Level1.png/160px-Osprey-Level1.png.webp,https://arcraiders.wiki/wiki/Osprey,Rare,Medium Ammo,Bolt-Action,45,17.7,796.5,80.3,7000,8,Moderate,2.0x,89.4,45.9,12,7.0,Has reliable damage output and accuracy.,Muzzle | Underbarrel | Medium Magazine | Stock,Sniper Rifles
Jupiter,https://arcraiders.wiki/w/images/thumb/6/68/Jupiter.png/160px-Jupiter.png.webp,https://arcraiders.wiki/wiki/Jupiter,Legendary,Energy Clip,Bolt-Action,60,7.7,423.5,71.7,27500,5,Very Strong,2.0x,73.5,39.2,5,9.0,"A bolt-action sniper rifle with exceptional damage output and accuracy, but slow handling.",N/A,Sniper Rifles
Hullcracker,https://arcraiders.wiki/w/images/thumb/b/ba/Hullcracker-Level1.png/160px-Hullcracker-Level1.png.webp,https://arcraiders.wiki/wiki/Hullcracker,Epic,Launcher Ammo,Pump-Action,100,20.3,2030,38.9,10000,5,Very Strong,,97.2,67.9,1,7.0,Fires explosive projectiles that only detonate when hitting ARC.,Underbarrel | Stock,Specials
Equalizer,https://arcraiders.wiki/w/images/thumb/9/96/Equalizer.png/160px-Equalizer.png.webp,https://arcraiders.wiki/wiki/Equalizer,Legendary,Energy Clip,Fully-Automatic,8,33.3,266.4,68.6,27500,50,Very Strong,2.0x,84.6,44.6,,14.0,A high capacity experimental beam rifle.,N/A,Specials
